##OS
1:AppName=MessengerPal - Chatting with new people, new friends|:0.000300:0.000300:1.000000
1:AppName=新华字典有声版和汉语成语词典-历代诗词(8合1) for iPad|:0.000300:0.000300:1.000000
1:AppName=1097|:0.000300:0.000300:1.000000
1:AppName=2434|:0.000300:0.000300:1.000000
1:AppName=28381|:0.000300:0.000300:1.000000
1:AppName=铃声大全(免费版) - DIY制作 + 音乐搜索 + 精品下载 + 录音转换 + 彩铃设置 , 让你的手机铃声从此与众不同! 支持 iPhone iOS 7|:0.000300:0.000300:1.000000
1:AppName=怪物闹钟( AlarmMon , alarm clock)|:0.000300:0.000300:1.000000
1:AppName=17577|:0.000300:0.000300:1.000000
1:AppName=密室逃生 DOOORS|:0.000300:0.000300:1.000000
1:AppName=11965|:0.000300:0.000300:1.000000
1:AppName=7912|:0.000300:0.000300:1.000000
1:AppName=文件管理器 (File Manager)|:0.000300:0.000300:1.000000
1:AppName=汽车大全(ALL CAR)-iOS7|:0.000300:0.000300:1.000000
1:AppName=15105|:0.000300:0.000300:1.000000
1:AppName=31584|:0.000300:0.000300:1.000000
1:AppName=【免费】有声小说大全 - 闭着眼睛听最新最火精品书（限时免费,书旗免费小说,微信、qq空间分享）|:0.000300:0.000300:1.000000
1:AppName=58774|:0.000300:0.000300:1.000000
1:AppName=52624|:0.000300:0.000300:1.000000
1:AppName=38422|:0.000300:0.000300:1.000000
1:AppName=天天脑锻炼~观察力,记忆力,判断力,直感力,计算力,反应力,测定你的大脑年龄,提升大脑动力|:0.000300:0.000300:1.000000
1:AppName=Music Tubee - Free Music Player for YouTube|:0.000300:0.000300:1.000000
1:AppName=4339|:0.000300:0.000300:1.000000
1:AppName=37901|:0.000300:0.000300:1.000000
1:AppName=53061|:0.000300:0.000300:1.000000
1:AppName=29243|:0.000300:0.000300:1.000000
1:AppName=18181|:0.000300:0.000300:1.000000
1:AppName=3951|:0.000300:0.000300:1.000000
1:AppName=4629|:0.000300:0.000300:1.000000
1:AppName=20480|:0.000300:0.000300:1.000000
1:AppName=24034|:0.000300:0.000300:1.000000
1:AppName=12337|:0.000300:0.000300:1.000000
1:AppName=20279|:0.000300:0.000300:1.000000
1:AppName=5986|:0.000300:0.000300:1.000000
1:AppName=19229|:0.000300:0.000300:1.000000
1:AppName=24308|:0.000300:0.000300:1.000000
1:AppName=9194|:0.000300:0.000300:1.000000
1:AppName=22119|:0.000300:0.000300:1.000000
1:AppName=2277|:0.000300:0.000300:1.000000
1:AppName=24495|:0.000300:0.000300:1.000000
1:AppName=42902|:0.000300:0.000300:1.000000
1:AppName=24778|:0.000300:0.000300:1.000000
1:AppName=13249|:0.000300:0.000300:1.000000
1:AppName=云阅书城 (原：云端悦读)|:0.000300:0.000300:1.000000
1:AppName=满天星 Lucky Stars Pop all Stars|:0.000300:0.000300:1.000000
1:AppName=65971|:0.000300:0.000300:1.000000
1:AppName=48308|:0.000300:0.000300:1.000000
1:AppName=2600|:0.000300:0.000300:1.000000
1:AppName=23901|:0.000300:0.000300:1.000000
1:AppName=9981|:0.000300:0.000300:1.000000
1:AppName=52515|:0.000300:0.000300:1.000000
1:AppName=绝世唐门等唐家三少作品全集|:0.000300:0.000300:1.000000
1:AppName=52800|:0.000300:0.000300:1.000000
1:AppName=64430|:0.000300:0.000300:1.000000
1:AppName=50906|:0.000300:0.000300:1.000000
1:AppName=58999|:0.000300:0.000300:1.000000
1:AppName=7591|:0.000300:0.000300:1.000000
1:AppName=34439|:0.000300:0.000300:1.000000
1:AppName=小说王--最完整的小说库, 最好用的阅读器|:0.000300:0.000300:1.000000
1:AppName=有声小说(海量/更新/高清)-听书大全|:0.000300:0.000300:1.000000
1:AppName=5600|:0.000300:0.000300:1.000000
1:AppName= 消灭星星|:0.000300:0.000300:1.000000
1:AppName=10114|:0.000200:0.000200:1.000000
1:AppName=3453|:0.000200:0.000200:1.000000
1:AppName=3920|:0.000200:0.000200:1.000000
1:AppName=英汉字典 English Chinese Dictionary Free|:0.000200:0.000200:1.000000
1:AppName=25330|:0.000200:0.000200:1.000000
1:AppName=47533|:0.000200:0.000200:1.000000
1:AppName=31469|:0.000200:0.000200:1.000000
1:AppName=2914|:0.000200:0.000200:1.000000
1:AppName=50434|:0.000200:0.000200:1.000000
1:AppName=31489|:0.000200:0.000200:1.000000
1:AppName=42928|:0.000200:0.000200:1.000000
1:AppName=泡泡总动员+|:0.000200:0.000200:1.000000
1:AppName=29493|:0.000200:0.000200:1.000000
1:AppName=45978|:0.000200:0.000200:1.000000
1:AppName=宝宝贴纸动物园, 针对2-12岁儿童设计, 认识动物 拼图 幼儿识字 早教益智游戏|:0.000200:0.000200:1.000000
1:AppName=4109|:0.000200:0.000200:1.000000
1:AppName=1918|:0.000200:0.000200:1.000000
